Ext.ID,Museum.Institution,Sampling.date,Catalogue.accession,Species,Collection.notes,Sex,Age,Year,Country,Region,Locality,Oral.health,Photo,Appearance,Sample.collected.from,Sampling.comments,Ext.Date,Sample.weight..g.,Qubit.concentration..ng.ul.,Qubit.date,Ext.comments,LP.date,Extract.vol.used,LP_BC_p5,LP_BC_p7,P5.Index,P7.Index,LP.copies,Ind.date,LP.vol.used,Ind.cycles,Ind.copies,Pool,Pooled.volume..ul.,Deep.Pool,Deep.Pool.vol,Instrument.model,archive,archive_project,archive_accession,project_name,publication_doi,download_links,download_md5s
DM_005,Adametz collection,20230217,E 757,Sus scrofa domesticus,Englisches Zuchtschwein ,,,<1940,,,,,Y,,mandible canines and molars,,20230627,0.021,30.400,20230628,Small Roche column a bit wet after disassembly,20230629,20,9,7,1,1,4.82e+08,20230906,12,11,3.64e+10,Pool B,2,Pool U,3,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
DM_006,Adametz collection,20230217,209 (large tusks),Sus scrofa,Europe wildschwein  ,male,,<1940,,,,,N,large white plaques,upper front molars ,large chunks fell off easily,20230627,0.016,16.800,20230628,Small Roche column a bit wet after disassembly,20230629,20,8,12,1,1,1.45e+08,20230720,12,10,3.52e+10,Pool B,2,Pool V,2,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
DM_007,Adametz collection,20230217,E 209 (no tusks),Sus scrofa, ,female?,,<1940,,,,,N,,all molars,maybe not enough,20230627,0.012,1.370,20230628,,20230629,20,9,14,1,1,75900000,20230906,12,11,1.8e+10,Pool B,3,Pool W,2.5,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
DM_008,Adametz collection,20230217,E 754,Sus scrofa domesticus,"Galizien, Landschw. ",,,<1940,Poland or Ukraine?,Galicia,,,N,white,all molars,,20230627,0.019,8.220,20230628,,20230629,20,9,8,1,1,72700000,20230906,12,11,1.48e+10,Pool B,3,Pool W,3,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
DM_009,Adametz collection,20230217,1064 ,Ovis aries,Soay Sheep; Hebriden ,,,<1940,,,,,N,large plaques,front 3 molars upper and lower,,20230627,0.024,15.400,20230628,,20230629,20,8,2,1,1,76100000,20230720,12,10,4.87e+10,Pool A,3,Pool T,3,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
DM_010,Adametz collection,20230217,E 209 (male),Sus scrofa,Wildschwein E 209  ,male,,<1940,,,,,N,large plaques,lower molars,,20230627,0.013,7.250,20230628,,20230629,20,8,14,1,1,2.94e+08,20230720,12,10,2.91e+10,Pool B,3,Pool V,2.5,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
DM_011,Adametz collection,20230217,E 610,Sus scrofa,Bosn. Wildsch. Eber 1911 ,,,1911,,,,,N,,upper and lower molars,,20230627,0.02,12.000,20230628,,20230629,20,8,15,1,1,55200000,20230720,12,10,4.21e+09,Pool C,4,Pool X,3,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
DM_012,Adametz collection,20230217,15 E761 73,Sus scrofa,C ,female,,<1940,,,,,N,,,,20230627,0.008,2.080,20230628,,20230629,20,9,1,1,1,1.91e+08,20230906,12,11,6.32e+10,Pool A,3,Pool T,2.5,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
DM_013,Adametz collection,20230217,E 374,Sus scrofa domesticus,Polnisches Landschwein ,,,<1940,Poland?,,,,N,,all teeth,,20230627,0.015,14.200,20230628,,20230629,20,9,12,1,1,1.12e+08,20230906,12,11,2.35e+10,Pool B,3,Pool V,3,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
DM_014,Adametz collection,20230217,E 522,Sus scrofa domesticus,"Siska-Schwein; kroatische Landrasse (augestorben) Adametz-Smgl., Inv.Nr. E 522, weibl. juv. ",female,,<1940,,,,,N,,all teeth,,20230816,0.006,5.94,20230818,,20230824,20,2,14,7,7,1.04e+08,20230920_7-7,12,11,3.84e+10,Pool B,2,Pool U,2.5,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
DM_015,Adametz collection,20230217,E 855,Sus scrofa domesticus,"Sumadija-Schwein; serbische Landrasse (ausgestorben); Adametz-Smlg., Inv. Nr. E 855, maennl. Ad. ",male?,adult?,<1940,Serbia?,,,,N,white-beige,"maxillar molar 1-4 from both sides, only buccal",,20230816,0.021,26.3,20230818,plaques,20230824,20,1,8,7,7,1.72e+08,20230920_7-7,12,11,2.71e+10,Pool B,3,Pool V,2.5,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
DM_016,Adametz collection,20230217,A 491,Sus scrofa domesticus,Haengebauchschwein ,male,,<1940,,,,,N,white-beige,all maxillar molars,,20230809,0.016,7.27,20230810,,20230815,20,7,1,5,5,5.98e+08,20230907,12,11,7.44e+10,Pool A,3,Pool S,4,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
DM_017,Adametz collection,20230217,E 507,Sus scrofa domesticus,Syrm; Mangaliza; blond ,female,,<1940,,,,,N,white-beige,maxillar molars and canines,,20230809,0.012,7.33,20230810,,20230815,20,7,8,5,5,3.46e+08,20230907,12,11,1.73e+08,Pool D,5,Pool Z,2.5,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
DM_019,Adametz collection,20230221,E 753,Sus scrofa domesticus,Galz. Landschw. ,,,<1940,,,,,N,white on some teeth darker on others,"all teeth, mostly buccal",,20230828,0.011,6.36,20230829,,20230830,20,12,1,7,7,1.45e+08,20230920_7-7,12,11,3.54e+10,Pool B,2,Pool U,2.5,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
DM_020,Adametz collection,20230221,E 517,Sus scrofa domesticus,Bagun ,,,<1940,,,,,N,white on some teeth darker on others,"all teeth, mostly buccal",,20230809,0.01,15.6,20230810,,20230815,20,7,12,5,5,1.5e+08,20230907,12,11,3.17e+10,Pool B,3,Pool V,2,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
DM_021,Adametz collection,20230221,E 758,Sus scrofa domesticus, ,,,<1940,,,,,N,orange-brown,all teeth,,20230828,0.011,0.58,20230829,,20230830,20,12,2,7,7,68200000,20230920_7-7,12,11,1.69e+10,Pool B,3,Pool W,2.5,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
DM_022,Adametz collection,20230221,E 216,Sus scrofa domesticus,Yorkshire ,female,,<1940,UK?,Yorkshire?,,,N,white on some teeth darker on others,"mandible molars 1-3 from each side, buccal",,20230809,0.015,19.3,20230810,,20230815,20,7,2,5,5,3.41e+08,20230907,12,11,3.87e+10,Pool B,2,Pool U,2.5,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
DM_026,Adametz collection,20230221,E 70,Equus caballus,Staten Fohlen; Pinzgauer R. ,,,<1940,,,,,N,,all molars,,20230808,0.025,20.9,20230809,,20230811,20,12,15,4,4,1.56e+09,20230904,12,11,1.02e+11,Pool A,2,Pool S,3,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
DM_027,Adametz collection,20230221,E 946,Equus caballus,Pinzgauer ,,,<1940,,,,,N,,all molars,maybe insufficient?,20230808,0.015,28.3,20230809,,20230811,20,14,1,4,4,1.07e+09,20230904,12,11,3.78e+10,Pool B,2,Pool U,2.5,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
DM_028,Adametz collection,20230221,E 947,Equus caballus,Pinzgauer; O.3; No. 5 ,,,<1940,,,,,N,,all molars,,20230808,0.014,3.81,20230809,,20230811,20,14,2,4,4,2.48e+09,20230904,12,11,8.98e+10,Pool A,3,Pool S,3,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
DM_029,Adametz collection,20230221,? 91,Equus caballus,Anglonormanner; Conezie (?) ,female,,<1940,,,,,Y,,all molars,,20230808,0.014,1.36,20230809,,20230811,20,14,7,4,4,2.97e+08,20230904,12,11,1.33e+11,Pool A,2,Pool S,1,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
DM_C01,Adametz collection,20230217,Environmental control,Environmental control,"Swab of shelves carrying boar, sheep and horses ",,,,,,,,N,,,,20230710,NA,0.068,20230711,Not sure if properly mixed during incubation,20230809,20,9,8,5,5,2100000,20230907,12,11,1.47e+09,Pool C,1,Pool U,2,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
EBO001.A,Hamann-Todd Collection at the Cleveland Museum of Natural History,NA,1417,Gorilla gorilla,Gorilla gorilla gorilla,Male,Adult,,Cameroon,,Ebolwa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9444000,NA,NA,NA,NA,NA,NA,NA,NA,NextSeq 500,ENA,PRJEB34569,ERS3774401,FellowsYates2021,10.1073/pnas.2021655118,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/001/ERR3579721/ERR3579721_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/001/ERR3579721/ERR3579721_2.fastq.gz,2d3834d06ed0b764f7db6a2220517814;51f8eeeee3576bbbd2e455331efb914a
EBO003.A,Hamann-Todd Collection at the Cleveland Museum of Natural History,NA,1709,Gorilla gorilla,Gorilla gorilla gorilla,Male,Adult,,Cameroon,,Ebolwa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2996000,NA,NA,NA,NA,NA,NA,NA,NA,NextSeq 500,ENA,PRJEB34569,ERS3774402,FellowsYates2021,10.1073/pnas.2021655118,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/002/ERR3579722/ERR3579722_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/002/ERR3579722/ERR3579722_2.fastq.gz,deff3ef923def5f0918a3d2b299db3a1;5d212c6b960e8fdf05ddc5a861473363
EBO008.A,Hamann-Todd Collection at the Cleveland Museum of Natural History,NA,1707,Pan troglodytes,Pan troglodytes ellioti,Female,Adult,,Cameroon,,Ebolwa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44640000,NA,NA,NA,NA,NA,NA,NA,NA,NextSeq 500,ENA,PRJEB34569,ERS3774430,FellowsYates2021,10.1073/pnas.2021655118,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/004/ERR3579724/ERR3579724_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/004/ERR3579724/ERR3579724_2.fastq.gz,9c942cfef71a5d9c11171e8076cdc859;ba06b51ae55a667a640ac4e6e5ea4163
EBO009.A,Hamann-Todd Collection at the Cleveland Museum of Natural History,NA,1713,Pan troglodytes,Pan troglodytes ellioti,Female,Adult,,Cameroon,,Ebolwa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10240000,NA,NA,NA,NA,NA,NA,NA,NA,NextSeq 500,ENA,PRJEB34569,ERS3774431,FellowsYates2021,10.1073/pnas.2021655118,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/006/ERR3579726/ERR3579726_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/006/ERR3579726/ERR3579726_2.fastq.gz,a63e3dc791eea2d61158da32c8d1d150;f2613a4884c1f65f2662926ec4b0f3fe
EB1,NINA,NA,,Extraction blank,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
EB_10_2,,NA,,Extraction blank,,,,,,,,,,,,,20230703,NA,0.152,20230704,Opened a bit while removing parafilm,20230706,20,3,3,2,2,25200,20230818,18,11,8.4e+09,Pool B,1,Pool Z,2,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
EB_11_1,,NA,,Extraction blank,,,,,,,,,,,,,20230707,NA,0.065,20230708,,20230712,20,5,5,2,2,15900,20230818,18,11,5.41e+08,Pool B,1,Pool V,2,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
EB_12_1,,NA,,Extraction blank,,,,,,,,,,,,,20230710,NA,0.105,20230711,,20230712,20,6,6,2,2,13100,20230818,18,11,4.02e+08,Pool B,1,Pool V,2,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
EB_13_2,,NA,,Extraction blank,,,,,,,,,,,,,20230713,NA,too low,20230714,,20230719,20,11,11,2,2,66000,20230920_remainder,12,11,6.06e+08,Pool D,1,Pool V,2,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
EB_14_2,,NA,,Extraction blank,,,,,,,,,,,,,20230717,NA,too low,20230718,"3,5 min incubation with EB",20230809,20,13,11,5,5,17100,20230907,12,11,3.27e+08,Pool B,1,Pool W,2,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
EB_15_2,,NA,,Extraction blank,,,,,,,,,,,,,20230719,NA,too low,20230720,,20230721,20,3,3,3,3,11300,20230920_3-3,10,11,1.94e+10,Pool A,1,Pool S,2,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
EB_16,,NA,,Extraction blank,,,,,,,,,,,,,20230723,NA,too low,20230724,,20230727,20,3,3,4,4,14500,20230905,12,11,1.05e+08,Pool D,1,Pool X,2,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
EB_17_2,,NA,,Extraction blank,,,,,,,,,,,,,20230724,NA,0.179,20230725,,20230726,20,5,5,3,3,2100,20230905,12,11,1.13e+08,Pool D,1,Pool X,2,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
EB_18_2,,NA,,Extraction blank,,,,,,,,,,,,,20230726,NA,0.054,20230727,Less PE on second wash step,20230801,20,10,10,4,4,2890,20230905,12,11,1.09e+08,Pool D,1,Pool X,2,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
EB_19_2,,NA,,Extraction blank,,,,,,,,,,,,,20230801,NA,too low,20230802,,20230810,20,3,3,6,6,103000,20230908,12,11,1.78e+10,Pool A,1,Pool S,2,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
EB2,NINA,NA,,Extraction blank,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
EB_20,,NA,,Extraction blank,,,,,,,,,,,,,20230803,NA,too low,20230804,,20230816,20,10,10,6,6,19300,20230908,12,11,1e+09,Pool C,1,Pool U,2,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
EB_21,,NA,,Extraction blank,,,,,,,,,,,,,20230808,NA,too low,20230809,,20230811,20,13,10,4,4,13100,20230905,12,11,2.69e+09,Pool A,1,Pool T,2,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
EB_22,,NA,,Extraction blank,,,,,,,,,,,,,20230809,NA,too low,20230810,,20230815,NA,3,3,5,5,87800,20230907,12,11,1.33e+08,Pool D,1,Pool X,2,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
EB_23,,NA,,Extraction blank,,,,,,,,,,,,,20230814,NA,0.28,20230815,,20230821,20,9,14,6,6,543000,20230908,12,11,1.61e+09,Pool C,1,Pool U,2,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
EB_24_2,,NA,,Extraction blank,,,,,,,,,,,,,20230816,NA,0.076,20230818,,20230824,20,3,3,7,7,51000,20230920_7-7,12,11,1.67e+08,Pool D,1,Pool W,2,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
EB_25_2,,NA,,Extraction blank,,,,,,,,,,,,,20230828,NA,too low,20230829,,20230830,20,5,5,7,7,146000,20230920_remainder,12,11,2.55e+08,Pool D,5,Pool W,2,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
EB_26_2,,NA,,Extraction blank,,,,,,,,,,,,,20230830,NA,too low,20230831,,20230906,20,3,3,8,8,297000,20230920_8-8,12,11,25900000,Pool D,1,Pool Z,2,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
EB_28,,NA,,Extraction blank,,,,,,,,,,,,,20230911,NA,too low,20230912,,20230912,20,5,5,8,8,41300,20230920_8-8,12,11,27300000,Pool C,1,Pool Z,2,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
EB_29,,NA,,Extraction blank,,,,,,,,,,,,,20230912,NA,0.123,20230913,,20230914,20,3,3,9,9,34700,20230920_remainder,12,11,1.51e+08,Pool D,1,Pool W,2,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
EB_2_2,,NA,,Extraction blank, ,,,,,,,,,,,,20230607,NA,0.074,20230608,,20230612,20,3,3,1,1,18900,20230616,18,10,18400000,Pool B,1,Pool Z,2,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
EB_5_2,,NA,,Extraction blank, ,,,,,,,,,,,,20230613,NA,0.134,20230614,,20230619,20,5,5,6,6,7290,20230622,18,11,53400000,Pool D,1,Pool Y,2,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
EB_6_2,,NA,,Extraction blank, ,,,,,,,,,,,,20230614,NA,0.080,20230615,,20230620,20,5,5,9,9,18700,20230622,18,11,80100000,Pool D,1,Pool X,2,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
EB_7_1,,NA,,Extraction blank,,,,,,,,,,,,,20230626,NA,0.126,20230627,,20230628,20,5,5,1,1,48600,20230724,18,11,1.6e+07,Pool D,1,Pool Z,2,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
EB_8_2,,NA,,Extraction blank,,,,,,,,,,,,,20230627,NA,0.187,20230628,,20230629,20,11,11,1,1,56700,20230906,12,11,1.55e+09,Pool C,1,Pool U,2,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
EB_9_2,,NA,,Extraction blank,,,,,,,,,,,,,20230629,NA,too low,20230703,QuBit repeated,20230704,20,13,13,1,1,2500,20230906,12,11,63400000,Pool D,1,Pool Y,2,Illumina NovaSeq X Plus,NA,NA,NA,NA,NA,NA,NA
F1,NINA,NA,,Rangifer tarandus,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
F10,NINA,NA,,Rangifer tarandus,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
F2,NINA,NA,,Rangifer tarandus,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
F3,NINA,NA,,Rangifer tarandus,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
F4,NINA,NA,,Rangifer tarandus,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
F5,NINA,NA,,Rangifer tarandus,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
F6,NINA,NA,,Rangifer tarandus,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
F7,NINA,NA,,Rangifer tarandus,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
F8,NINA,NA,,Rangifer tarandus,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
F9,NINA,NA,,Rangifer tarandus,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
